                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94026,                 1.3071,                 1.2777,                0.76581,                 0.7455,                0.79487,                0.54186,                 1.1402,                 1.3131,                 1.5652,              0.0006659,              0.0006659,              0.0006659
                      2,                 1.0736,                  1.264,                 1.3678,                0.65549,                 0.7063,                0.71691,                0.44075,                 1.3143,                 1.6015,                 1.7229,              0.0013106,              0.0013106,              0.0013106
                      3,                 1.0646,                 1.2169,                 1.3451,                0.79365,                0.76043,                0.80958,                0.55822,                  1.138,                 1.2661,                  1.556,              0.0019333,              0.0019333,              0.0019333
                      4,                 1.0432,                 1.1789,                  1.328,                0.76738,                0.71284,                0.78334,                0.54442,                 1.1138,                 1.1977,                 1.5234,               0.001901,               0.001901,               0.001901
                      5,                0.96703,                 1.0991,                 1.2837,                 0.8596,                0.77875,                0.85573,                0.63814,                0.99306,                 1.0532,                 1.4278,               0.001868,               0.001868,               0.001868
                      6,                0.94119,                 1.0772,                 1.2785,                0.84526,                0.81843,                0.86272,                0.66735,                0.94621,                 1.0081,                 1.3734,               0.001835,               0.001835,               0.001835
                      7,                0.88609,                0.98404,                 1.2316,                0.84742,                0.83662,                0.88294,                0.68831,                0.88596,                0.89836,                   1.35,               0.001802,               0.001802,               0.001802
                      8,                0.82151,                0.92512,                 1.1939,                0.88461,                0.86147,                0.90146,                0.72095,                0.81884,                0.81793,                 1.2671,               0.001769,               0.001769,               0.001769
                      9,                0.81492,                0.90317,                 1.1989,                0.88337,                0.85071,                 0.9023,                0.72098,                0.84825,                0.85703,                 1.2952,               0.001736,               0.001736,               0.001736
                     10,                0.79214,                0.87008,                 1.1798,                0.87699,                  0.863,                0.89874,                0.72253,                0.79624,                0.82827,                 1.2498,               0.001703,               0.001703,               0.001703
                     11,                0.76271,                0.84346,                 1.1612,                0.89644,                0.87897,                0.91622,                 0.7562,                0.74939,                0.75615,                 1.2174,                0.00167,                0.00167,                0.00167
                     12,                0.73298,                0.80149,                 1.1447,                 0.9134,                0.88668,                0.92473,                 0.7777,                0.68892,                0.74362,                 1.1851,               0.001637,               0.001637,               0.001637
                     13,                0.72196,                0.81104,                 1.1437,                0.89989,                0.87088,                0.91919,                0.77471,                0.72118,                0.73618,                   1.22,               0.001604,               0.001604,               0.001604
